id_SMA,nama_SMA,id_kabupaten
482,SMA PLUS MUHAMMADIYAH NATAR,2
483,SMA PONDOK MAKAH,13
484,SMA PRABA ABUNG SELATAN,5
485,SMA PRIMA,5
486,SMA PURNAMA,3
487,SMA QURAN NURUL HUDA,7
488,SMA ROUDLOTUS SHOLIHIN,1
489,SMA ROWO REJO,1
490,SMA SANTO PIUS GISTING,10
491,SMA SLAMET RIYADI,5
492,SMA SRIWIJAYA,14
493,SMA SUGAR GROUP BANDAR MATARAM,3
494,SMA SUNAN KALIJAGA,2
495,SMA SURYA DHARMA 2,14
496,SMA SWADIPHA,2
497,SMA TAMAN FIRDAUS PENAWAR AJI,11
498,SMA TAMAN SISWA,14
499,SMA TAMAN SISWA TALANG PADANG,10
500,SMA TAMAN SISWA TANJUNGKARANG,14
501,SMA TARUNA GAJAH MADA,15
502,SMA TELADAN,4
503,SMA TELADAN 1 METRO,15
504,SMA TELADAN WAY JEPARA,4
505,SMA TERPADU,11
506,SMA TERPADU RAWA JITU TIMUR,11
507,SMA TMI METRO,15
508,SMA TRANSIT,4
509,SMA TRI BAKTI BANDAR SURABAYA,3
510,SMA TRISUKSES,2
511,SMA TUNAS BANGSA TANJUNG HARAPAN,2
512,SMA TUNAS HARAPAN,14
513,SMA UTAMA 1,14
514,SMA UTAMA 2,14
515,SMA UTAMA 3,14
516,SMA UTAMA BAKTI,2
517,SMA UTAMA WACANA,15
518,SMA UTAMA WACANA 2 GUNUNG TERANG,11
519,SMA WIJAYA,14
520,SMA WIRALAGA MESUJI LAMPUNG,11
521,SMA WIRATAMA KOTAGAJAH,3
522,SMA WIYATA KARYA KOTABUMI,5
523,SMA WIYATA KARYA NATAR,2
524,SMA WIYATA MANDALA,5
525,SMA XAVERIUS,14
526,SMA XAVERIUS PAGELARAN,10
527,SMA XAVERIUS PRINGSEWU,10
528,SMA YADIKA,2
529,SMA YAGSMI KOTABUMI,5
530,SMA YAPENDA SIMPANG PEMATANG,11
531,SMA YASMIDA AMBARAWA,10
532,SMA YOS SUDARSO METRO,15
533,SMA YOS SUDARSO TERBANGGI BESAR,3
534,SMA YP UNILA,14
535,SMA YPI 4 GUNUNG AGUNG,11
536,SMA YPI BANDAR MATARAM,3
537,SMA YPI SEPUTIH MATARAM,3
538,SMA YPPL PANJANG,14
539,SMA YPS SIDOREJO,4
540,SMA GAYA BARU SEPUTIH SURABAYA,3
541,SMA. DIPONEGORO PENAWARTAMA,11
542,SMA. MUHAMMADIYAH,11
543,SMA. MUHAMMADIYAH TULANG BAWANG TENGAH,11
544,SMA. PELITA AGUNG TUMIJAJAR,11
545,SMA. RADEN SALEH,11
546,SMA.MUH.BANJIT,13
547,SMAK BPK PENABUR,14
548,SMAN 01 BANDAR LAMPUNG,14
549,SMAN 01 BUMI AGUNG,13
550,SMAN 01 PAKUAN RATU,13
551,SMAN 02 BANDAR LAMPUNG,14
552,SMAN 02 BUAY BAHUGA,13
553,SMAN 02 BUMI AGUNG,13
554,SMAN 03 BANDAR LAMPUNG,14
555,SMAN 04 BANDAR LAMPUNG,14
556,SMAN 05 BANDAR LAMPUNG,14
557,SMAN 06 BANDAR LAMPUNG,14
558,SMAN 07 BANDAR LAMPUNG,14
559,SMAN 08 BANDAR LAMPUNG,14
560,SMAN 09 BANDAR LAMPUNG,14
561,SMAN 1 ABUNG BARAT,5
562,SMAN 1 ABUNG SELATAN,5
563,SMAN 1 ABUNG SEMULI,5
564,SMAN 1 ABUNG TENGAH,5
565,SMAN 1 ABUNG TIMUR,5
566,SMAN 1 ADILUWIH,10
567,SMAN 1 AMBARAWA,10
568,SMAN 1 ANAK RATU AJI,3
569,SMAN 1 BAHUGA,13
570,SMAN 1 BANDAR SRIBHAWONO,4
571,SMAN 1 BANGKUNAT BELIMBING,8
572,SMAN 1 BANGUN REJO,3
573,SMAN 1 BANJAR AGUNG,11
574,SMAN 1 BANJAR MARGO,11
575,SMAN 1 BANJIT,13
576,SMAN 1 BARADATU,13
577,SMAN 1 BATANGHARI,4
578,SMAN 1 BATU BRAK,1
579,SMAN 1 BELALAU,1
580,SMAN 1 BENGKUNAT,1
581,SMAN 1 BENGKUNAT,8
582,SMAN 1 BENGKUNAT BELIMBING,1
583,SMAN 1 BLAMBANGAN UMPU,13
584,SMAN 1 BUKIT KEMUNING,5
585,SMAN 1 BULOK,10
586,SMAN 1 CANDIPURO,2
587,SMAN 1 CUKUHBALAK,10
588,SMAN 1 DENTE TELADAS,11
589,SMAN 1 GADINGREJO,10
590,SMAN 1 GEDONG TATAAN,2
591,SMAN 1 GEDONG TATAAN,7
592,SMAN 1 GEDUNG AJI,11
593,SMAN 1 GUNUNG AGUNG,11
594,SMAN 1 GUNUNG LABUHAN,13
595,SMAN 1 GUNUNG SUGIH,3
596,SMAN 1 GUNUNG TERANG,11
597,SMAN 1 JABUNG,4
598,SMAN 1 KALIANDA,2
599,SMAN 1 KALIREJO,3
600,SMAN 1 KARYA PENGAWA,8
601,SMAN 1 KARYA PENGGAWA,1
602,SMAN 1 KASUI,13
603,SMAN 1 KEDONDONG,2
604,SMAN 1 KEDONDONG,7
605,SMAN 1 KELUMBAYAN,10
606,SMAN 1 KELUMBAYAN BARAT,10
607,SMAN 1 KIBANG,4
608,SMAN 1 KOTABUMI,5
609,SMAN 1 LABUHAN MARINGGAI,4
610,SMAN 1 LABUHAN RATU,4
611,SMAN 1 LEMONG,1
612,SMAN 1 LEMONG,8
613,SMAN 1 LIMAU,10
614,SMAN 1 LIWA,1
615,SMAN 1 MARGATIGA,4
616,SMAN 1 MELINTING,4
617,SMAN 1 MENGGALA,11
618,SMAN 1 MERAKSA AJI,11
619,SMAN 1 MERBAU MATARAM,2
620,SMAN 1 MESUJI LAMPUNG,6
621,SMAN 1 MESUJI TIMUR,6
622,SMAN 1 MESUJI TIMUR,11
623,SMAN 1 METRO,15
624,SMAN 1 NATAR,2
625,SMAN 1 NEGARA BATIN,13
626,SMAN 1 NEGERI AGUNG,13
627,SMAN 1 NEGERI BESAR,13
628,SMAN 1 NEGERI KATON,2
629,SMAN 1 NEGERI KATON,7
630,SMAN 1 NGAMBUR,8
631,SMAN 1 PADANG CERMIN,7
632,SMAN 1 PADANGRATU,3
633,SMAN 1 PAGAR DEWA,11
634,SMAN 1 PAGELARAN,10
635,SMAN 1 PALAS,2
636,SMAN 1 PANCA JAYA,6
637,SMAN 1 PASIR SAKTI,4
638,SMAN 1 PEKALONGAN,4
639,SMAN 1 PENAWARTAMA,11
640,SMAN 1 PENENGAHAN,2
641,SMAN 1 PESISIR SELATAN,1
642,SMAN 1 PESISIR SELATAN,8
643,SMAN 1 PESISIR TENGAH,1
644,SMAN 1 PESISIR TENGAH,8
645,SMAN 1 PESISIR UTARA,8
646,SMAN 1 PRINGSEWU,10
647,SMAN 1 PSS. UTARA,1
648,SMAN 1 PULAU PANGGUNG,10
649,SMAN 1 PUNDUH PEDADA,2
650,SMAN 1 PUNDUH PEDADA,7
651,SMAN 1 PUNGGUR,3
652,SMAN 1 PURBOLINGGO,4
653,SMAN 1 RAMAN UTARA,4
654,SMAN 1 REBANG TANGKAS,13
655,SMAN 1 RUMBIA,3
656,SMAN 1 SEKAMPUNG,4
657,SMAN 1 SEKINCAU,1
658,SMAN 1 SEMAKA,10
659,SMAN 1 SENDANG AGUNG,3
660,SMAN 1 SEPUTIH AGUNG,3
661,SMAN 1 SEPUTIH BANYAK,3
662,SMAN 1 SEPUTIH MATARAM,3
663,SMAN 1 SEPUTIH RAMAN,3
664,SMAN 1 SEPUTIH SURABAYA,3
665,SMAN 1 SIDOMULYO,2
666,SMAN 1 SIMPANG PEMATANG,6
667,SMAN 1 SIMPANG PEMATANG,11
